f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
25.52,0.99,0.14,0.14,1.71,0.91,-0.47,0.23,-0.77,0.23,-0.33,-0.13,-1.04,-4.05,-0.13,-2.07,-22.64,38.23,-22.64,38.23,5.56,26.05,-18.38,-18.38,26.05,-4.87,-3.07,8.64,-3.07,8.64,3.46,pad
38.29,-0.47,1.04,-0.47,1.05,0.64,0.10,0.22,-0.73,0.22,-0.28,-0.34,-1.57,-4.03,-0.34,-2.16,-27.49,39.81,-27.49,39.81,-2.35,17.64,-33.73,-33.73,17.64,-11.35,-6.49,13.84,-6.49,13.84,1.11,pad
25.52,-0.30,0.20,-0.47,0.65,0.11,0.41,0.17,-0.43,0.41,-0.04,0.95,-1.01,-1.71,0.95,-0.17,-13.31,7.33,-13.31,7.33,-1.13,-3.48,-37.12,-37.12,17.48,-5.77,-4.29,14.08,-6.83,17.25,3.17,pad
25.52,1.68,0.47,-0.85,1.68,0.06,-0.68,-0.19,-0.78,0.47,-0.03,-0.55,-0.12,-1.16,0.68,-0.16,-16.51,13.69,-16.51,13.69,-0.65,19.38,-5.35,-25.09,30.70,-2.38,-7.19,1.97,-7.19,13.02,1.76,pad
38.29,0.83,1.01,-1.12,1.14,0.11,-0.63,-0.41,-0.81,0.64,-0.05,-1.23,-0.69,-1.23,0.52,-0.18,-4.84,17.93,-8.22,17.93,0.36,2.23,-39.83,-39.83,28.08,0.83,-5.28,13.56,-21.48,13.58,-0.66,pad
38.29,0.43,0.22,-0.58,0.58,0.04,-0.60,-0.01,-0.60,0.66,-0.02,-1.13,-0.07,-1.13,0.44,-0.11,-0.96,0.32,-8.48,13.01,0.00,-9.70,-18.36,-20.18,17.70,-3.55,2.03,2.18,-8.18,8.72,1.88,pad
51.05,0.59,0.15,-0.89,0.72,0.05,-0.07,0.25,-0.50,0.49,-0.03,-0.83,-0.22,-0.95,0.95,-0.09,-7.91,0.44,-13.99,17.99,-1.64,-9.14,-14.88,-27.76,49.17,-6.18,-0.21,2.61,-21.00,15.63,1.97,pad
38.29,1.50,0.11,-0.60,1.50,0.10,-0.51,-0.23,-0.63,1.02,-0.03,-0.33,-0.08,-1.82,0.67,-0.12,-22.44,-8.06,-22.44,8.84,-0.96,10.44,-30.41,-30.41,22.73,-2.08,-8.54,1.29,-9.74,10.51,0.66,pad
38.29,0.40,0.79,-0.92,1.30,0.07,-0.29,-0.13,-0.90,2.56,-0.03,1.23,-0.09,-2.65,1.23,-0.09,-5.38,0.40,-25.04,22.59,-2.48,16.71,-14.52,-14.52,16.71,-1.32,2.23,1.14,-10.02,10.41,1.48,pad
38.29,0.35,-0.05,-0.31,0.35,-0.01,0.60,0.13,-0.35,0.60,-0.01,-0.48,-0.46,-1.09,0.50,-0.24,-10.30,-2.44,-10.83,4.60,-1.48,12.76,-8.72,-8.72,12.76,-1.33,3.89,2.68,-2.40,3.89,0.81,pad
38.29,-0.23,-0.03,-0.23,0.34,0.01,0.42,0.31,-0.22,0.42,-0.06,-0.64,0.46,-0.64,0.46,-0.19,-16.86,0.61,-16.86,5.13,-1.29,-2.17,-10.31,-13.96,5.28,-1.42,-0.16,3.59,-1.93,3.59,0.32,pad
38.29,0.68,0.00,-0.42,0.68,0.00,0.09,0.33,-0.58,0.85,-0.06,0.64,-0.08,-1.36,0.64,-0.23,-26.11,-4.43,-26.11,11.20,-2.38,13.41,-6.15,-10.82,13.41,-1.54,3.98,4.55,-4.71,4.55,-0.87,pad
38.29,-0.11,0.75,-0.37,0.75,0.11,-0.02,-0.50,-0.50,0.19,-0.08,-0.11,0.09,-0.81,0.16,-0.19,-16.41,-5.45,-16.41,8.27,0.10,-6.58,-14.87,-14.87,8.88,-0.24,-5.98,3.08,-6.24,6.25,0.10,pad
38.29,0.53,-0.01,-0.44,0.53,-0.08,0.22,-0.20,-0.39,0.43,-0.02,0.11,0.03,-1.01,0.11,-0.25,-20.61,6.29,-20.61,6.29,-0.33,8.60,-2.96,-10.86,8.60,-2.26,9.33,0.22,-2.06,9.33,0.83,pad
38.29,0.44,0.46,-1.16,0.77,0.06,0.36,-0.34,-0.98,0.80,-0.04,-0.55,-0.20,-1.28,0.83,-0.12,-13.85,4.49,-16.03,8.69,-0.64,4.60,-25.15,-25.15,9.37,-1.21,3.12,15.19,-11.74,15.19,0.02,pad
38.29,-0.23,0.40,-0.62,0.58,0.05,-0.32,-0.49,-0.62,0.90,-0.07,-0.62,-0.34,-1.22,0.73,-0.11,-7.74,-2.24,-18.31,10.15,-0.43,-8.77,-23.75,-23.75,11.16,-1.42,0.04,10.13,-8.51,10.13,0.32,pad
25.52,0.71,0.19,0.19,0.71,0.45,0.95,0.50,0.50,0.95,0.72,-8.35,-7.48,-8.35,-7.48,-7.92,-20.51,35.07,-20.51,35.07,7.28,-8.03,-33.61,-33.61,-8.03,-20.82,10.53,6.19,6.19,10.53,8.36,knuckle
25.52,0.71,-0.27,-0.68,0.71,0.03,-0.83,1.04,-1.76,1.04,-0.00,5.86,0.69,-7.22,5.86,-0.98,-38.80,39.96,-53.95,39.96,-7.16,58.23,-36.33,-36.33,58.23,4.07,-4.61,-1.53,-4.61,5.43,1.29,knuckle
25.52,0.54,0.15,0.15,0.54,0.35,-1.01,0.98,-1.01,0.98,-0.02,-5.70,-4.37,-5.70,-4.37,-5.04,-34.04,10.84,-34.04,10.84,-11.60,25.07,-28.54,-28.54,25.07,-1.74,1.03,8.05,1.03,8.05,4.54,knuckle
25.52,0.34,-0.58,-0.58,1.18,0.31,-0.99,1.05,-0.99,1.05,0.06,-4.53,-1.20,-5.50,-1.20,-3.75,-21.48,30.77,-21.48,30.77,4.86,37.83,-22.87,-22.87,37.83,4.31,-3.30,7.03,-3.30,7.03,3.17,knuckle
25.52,-0.26,-0.20,-0.26,0.02,-0.11,-1.75,1.15,-1.75,1.15,0.15,-1.21,1.56,-5.84,1.56,-2.21,-62.74,40.94,-62.74,45.64,-1.38,60.75,-47.06,-54.38,60.75,-14.10,2.17,-1.62,-1.62,4.94,1.68,knuckle
25.52,0.90,-0.17,-0.36,0.90,0.22,-0.72,0.41,-0.72,0.79,0.19,9.73,3.41,-7.53,9.73,-0.86,-65.50,34.09,-65.50,46.04,-2.43,63.56,-32.66,-54.63,63.56,0.68,2.43,-2.54,-2.76,2.43,-0.94,knuckle
25.52,-0.55,0.37,-0.55,0.98,0.27,-1.17,1.06,-1.17,1.06,0.09,1.00,-4.22,-5.99,1.00,-3.07,-43.18,18.57,-43.18,18.57,-10.41,39.60,-32.42,-32.42,39.60,-6.62,1.37,2.95,1.37,4.38,2.90,knuckle
25.52,-0.27,-0.22,-0.44,0.33,-0.15,-1.96,1.25,-1.96,1.80,0.51,-4.44,0.63,-7.06,0.63,-4.10,-66.93,46.15,-66.93,46.15,4.54,31.57,-39.27,-39.27,31.57,-17.82,4.37,-2.11,-2.11,6.74,1.94,knuckle
25.52,0.53,-0.13,-0.22,0.53,-0.02,-1.17,1.30,-1.17,1.30,0.28,11.27,1.00,-7.27,11.27,-1.44,-67.15,51.50,-67.15,51.50,-5.61,82.10,-57.15,-57.15,82.10,1.24,2.38,-3.54,-3.54,3.44,0.36,knuckle
25.52,0.63,0.17,-0.13,0.63,0.22,1.23,0.84,0.23,1.23,0.77,-7.76,-1.95,-7.76,-1.95,-5.03,-16.49,52.50,-16.49,52.50,24.66,-18.25,-55.86,-55.86,-18.25,-36.32,3.49,-0.34,-0.34,3.49,1.08,knuckle
25.52,0.51,-0.09,-0.28,0.51,0.06,-1.30,0.75,-1.30,0.99,0.34,3.75,-0.86,-6.67,3.75,-2.30,-52.85,37.56,-52.85,37.56,-9.10,52.73,-32.72,-32.72,52.73,-9.44,0.85,-1.20,-1.20,11.60,2.73,knuckle
25.52,-0.55,-0.21,-0.55,0.67,-0.02,-1.66,1.15,-1.66,1.15,-0.04,1.26,-0.43,-8.58,1.26,-3.62,-79.22,54.28,-79.22,54.28,-10.43,90.05,-50.69,-50.69,90.05,0.75,2.14,-0.82,-0.82,6.04,2.07,knuckle
25.52,0.03,-0.59,-0.59,0.68,-0.12,-1.12,1.26,-1.12,1.26,0.52,-8.11,0.61,-8.11,0.61,-4.61,-47.52,49.68,-47.52,49.68,10.51,45.66,-32.51,-37.90,45.66,-11.47,5.10,-0.30,-0.30,5.10,2.73,knuckle
25.52,0.63,0.01,-0.04,0.63,0.18,0.47,1.27,0.26,1.27,0.60,-7.43,1.08,-7.43,1.08,-4.43,-47.54,47.85,-47.54,47.85,14.68,21.74,-55.97,-55.97,21.74,-25.85,-1.85,-0.96,-1.85,1.80,-0.47,knuckle
25.52,-0.39,-0.29,-0.39,0.84,0.09,-1.19,1.55,-1.19,1.55,0.61,6.35,1.08,-8.20,6.35,-2.18,-85.09,55.45,-85.09,55.45,0.33,82.03,-42.22,-52.14,82.03,-7.56,5.50,-1.18,-1.18,5.50,1.98,knuckle
25.52,0.37,-0.32,-0.83,0.37,-0.31,-1.50,1.48,-1.50,1.48,0.41,-1.86,0.46,-6.08,0.46,-2.76,-63.91,34.15,-63.91,34.15,-7.12,24.94,-44.50,-44.50,24.94,-14.93,11.84,-6.87,-6.87,12.00,4.09,knuckle
25.52,0.73,-0.34,-0.41,0.73,-0.02,-0.07,1.96,-0.07,1.96,1.02,-8.87,1.05,-8.87,1.05,-4.80,-56.94,57.60,-56.94,61.76,17.36,4.98,-72.53,-72.53,4.98,-41.80,8.29,-5.33,-5.33,8.29,1.96,knuckle
25.52,-0.58,-0.24,-0.58,0.59,-0.10,-1.33,1.02,-1.33,1.23,0.48,3.85,1.71,-6.51,3.85,-1.76,-52.71,35.25,-52.71,40.33,-1.39,103.95,-45.46,-45.46,103.95,-2.83,4.01,-2.37,-2.37,9.06,2.18,knuckle
